Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave_3,ave_5
Hyperintense plaque identified by magnetic resonance imaging relates to intracoronary thrombus as detected by optical coherence tomography in patients with angina pectoris,"Ehara, Shoichi; Hasegawa, Takao; Nakata, Shinji; Matsumoto, Kenji; Nishimura, Satoshi; Iguchi, Tomokazu; Kataoka, Toru; Yoshikawa, Junichi; Yoshiyama, Minoru",EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING,12-May,2012,13,5,394,399,,10.1093/ehjci/jer305,38,3.17,0,0,0,0,3,3,6,8,8,1,4,1,2,2,0,2,4
Value of post-vascular phase (Kupffer imaging) by contrast-enhanced ultrasonography using Sonazoid in the detection of hepatocellular carcinoma,"Goto, Eriko; Masuzaki, Ryota; Tateishi, Ryosuke; Kondo, Yuji; Imamura, Jun; Goto, Tadashi; Ikeda, Hitoshi; Akahane, Masaaki; Shiina, Shuichiro; Omata, Masao; Yoshida, Haruhiko; Koike, Kazuhiko",JOURNAL OF GASTROENTEROLOGY,12-Apr,2012,47,4,477,485,,10.1007/s00535-011-0512-9,37,3.08,0,0,0,1,1,3,4,5,5,0,6,6,2,4,0,1.666666667,2.8
Nicotine modulates the immunological function of dendritic cells through peroxisome proliferator-activated receptor-gamma upregulation,"Yanagita, Manabu; Kobayashi, Ryohei; Kojima, Yuko; Mori, Kenta; Murakami, Shinya",CELLULAR IMMUNOLOGY,2012,2012,274,02-Jan,26,33,,10.1016/j.cellimm.2012.02.007,37,3.08,0,0,0,3,2,6,3,3,4,3,3,3,5,2,0,3.666666667,3.4
The KAC Family of Kinesin-Like Proteins is Essential for the Association of Chloroplasts with the Plasma Membrane in Land Plants,"Suetsugu, Noriyuki; Sato, Yoshikatsu; Tsuboi, Hidenori; Kasahara, Masahiro; Imaizumi, Takato; Kagawa, Takatoshi; Hiwatashi, Yuji; Hasebe, Mitsuyasu; Wada, Masamitsu",PLANT AND CELL PHYSIOLOGY,12-Nov,2012,53,11,1854,1865,,10.1093/pcp/pcs133,36,3,0,0,0,0,2,4,5,6,6,5,1,4,1,2,0,2,3.4
"GATA-2 anomaly and clinical phenotype of a sporadic case of lymphedema, dendritic cell, monocyte, B- and NK-cell (DCML) deficiency, and myelodysplasia","Ishida, Hiroyuki; Imai, Kosuke; Honma, Kenichi; Tamura, Shin-ichi; Imamura, Toshihiko; Ito, Masafumi; Nonoyama, Shigeaki",EUROPEAN JOURNAL OF PEDIATRICS,12-Aug,2012,171,8,1273,1276,,10.1007/s00431-012-1715-7,36,3,0,0,0,1,5,5,8,5,1,4,0,3,4,0,0,3.666666667,4.8
Thiol Modulation of the Chloroplast ATP Synthase is Dependent on the Energization of Thylakoid Membranes,"Konno, Hiroki; Nakane, Takeshi; Yoshida, Masasuke; Ueoka-Nakanishi, Hanayo; Hara, Satoshi; Hisabori, Toru",PLANT AND CELL PHYSIOLOGY,12-Apr,2012,53,4,626,634,,10.1093/pcp/pcs018,36,3,0,0,0,0,2,3,4,6,0,4,5,3,4,5,0,1.666666667,3
Advanced glycation end products (AGE) induce the receptor for AGE in the colonic mucosa of azoxymethane-injected Fischer 344 rats fed with a high-linoleic acid and high-glucose diet,"Shimomoto, Takasumi; Luo, Yi; Ohmori, Hitoshi; Chihara, Yoshitomo; Fujii, Kiyomu; Sasahira, Tomonori; Denda, Ayumi; Kuniyasu, Hiroki",JOURNAL OF GASTROENTEROLOGY,12-Oct,2012,47,10,1073,1083,,10.1007/s00535-012-0572-5,35,2.92,0,0,0,0,2,2,5,3,5,2,1,5,5,5,0,1.333333333,2.4
Prognostic Value of Aortic Valve Area Index in Asymptomatic Patients With Severe Aortic Stenosis,"Saito, Toshio; Muro, Takashi; Takeda, Hisateru; Hyodo, Eiichi; Ehara, Shoichi; Nakamura, Yasuhiro; Hanatani, Akihisa; Shimada, Kenei; Yoshiyama, Minoru",AMERICAN JOURNAL OF CARDIOLOGY,JUL 1 2012,2012,110,1,93,97,,10.1016/j.amjcard.2012.02.056,34,2.83,0,0,0,0,1,8,0,3,2,2,2,4,10,2,0,3,2.4
Subventricular Zone-Derived Oligodendrogenesis in Injured Neonatal White Matter in Mice Enhanced by a Nonerythropoietic Erythropoietin Derivative,"Kako, Eisuke; Kaneko, Naoko; Aoyama, Mineyoshi; Hida, Hideki; Takebayashi, Hirohide; Ikenaka, Kazuhiro; Asai, Kiyofumi; Togari, Hajime; Sobue, Kazuya; Sawamoto, Kazunobu",STEM CELLS,12-Oct,2012,30,10,2234,2247,,10.1002/stem.1202,33,2.75,0,0,0,0,6,2,5,5,5,1,3,1,3,2,0,2.666666667,3.6
Anhedonia and emotional word memory in patients with depression,"Liu, Wen-hua; Wang, Ling-zhi; Zhao, Su-hua; Ning, Yu-ping; Chan, Raymond C. K.",PSYCHIATRY RESEARCH,DEC 30 2012,2012,200,03-Feb,361,367,,10.1016/j.psychres.2012.07.025,32,2.67,0,0,0,0,2,1,4,1,3,3,4,7,3,4,0,1,1.6
A foodborne outbreak of sapovirus linked to catered box lunches in Japan,"Kobayashi, Shinichi; Fujiwara, Noriko; Yasui, Yoshihiro; Yamashita, Teruo; Hiramatsu, Reiji; Minagawa, Hiroko",ARCHIVES OF VIROLOGY,12-Oct,2012,157,10,1995,1997,,10.1007/s00705-012-1394-8,32,2.67,0,0,0,0,3,0,3,10,4,1,2,5,3,1,0,1,3.2
"Roles of mitochondria-generated reactive oxygen species on X-ray-induced apoptosis in a human hepatocellular carcinoma cell line, HLE","Indo, Hiroko P.; Inanami, Osamu; Koumura, Tomoko; Suenaga, Shigeaki; Yen, Hsiu-Chuan; Kakinuma, Shizuko; Matsumoto, Ken-Ichiro; Nakanishi, Ikuo; St Clair, William; St Clair, Daret K.; Matsui, Hirofumi; Cornette, Richard; Gusev, Oleg; Okuda, Takashi; Nakagawa, Yasuhito; Ozawa, Toshihiko; Majima, Hideyuki J.",FREE RADICAL RESEARCH,12-Aug,2012,46,8,1029,1043,,10.3109/10715762.2012.698012,32,2.67,0,0,0,1,6,4,5,1,2,2,4,1,5,1,0,3.666666667,3.4
"Stroke: Prevalence and Disability in Cotonou, Benin","Cossi, Marie-Joeelle; Gobron, Claire; Preux, Pierre-Marie; Niama, Didier; Chabriat, Hugues; Houinato, Dismand",CEREBROVASCULAR DISEASES,2012,2012,33,2,166,172,,10.1159/000334195,32,2.67,0,0,0,1,2,5,5,1,2,5,1,4,5,1,0,2.666666667,2.8
A Single Nucleotide Polymorphism within DUSP9 Is Associated with Susceptibility to Type 2 Diabetes in a Japanese Population,"Fukuda, Hisashi; Imamura, Minako; Tanaka, Yasushi; Iwata, Minoru; Hirose, Hiroshi; Kaku, Kohei; Maegawa, Hiroshi; Watada, Hirotaka; Tobe, Kazuyuki; Kashiwagi, Atsunori; Kawamori, Ryuzo; Maeda, Shiro",PLOS ONE,SEP 27 2012,2012,7,9,,,e46263,10.1371/journal.pone.0046263,31,2.58,0,0,0,0,4,3,4,3,3,2,7,1,2,2,0,2.333333333,2.8
"Purified cranberry proanthocyanidines (PAC-1A) cause proapoptotic signaling, ROS generation, cyclophosphamide retention and cytotoxicity in high-risk neuroblastoma cells","Singh, Ajay P.; Lange, Thilo S.; Kim, Kyu K.; Brard, Laurent; Horan, Timothy; Moore, Richard G.; Vorsa, Nicholi; Singh, Rakesh K.",INTERNATIONAL JOURNAL OF ONCOLOGY,12-Jan,2012,40,1,99,108,,10.3892/ijo.2011.1225,31,2.58,0,0,0,0,4,6,1,5,0,3,4,5,2,1,0,3.333333333,3.2
Diabetes-associated angiotensin activation enhances liver metastasis of colon cancer,"Shimomoto, Takasumi; Ohmori, Hitoshi; Luo, Yi; Chihara, Yoshitomo; Denda, Ayumi; Sasahira, Tomonori; Tatsumoto, Naokuni; Fujii, Kiyomu; Kuniyasu, Hiroki",CLINICAL & EXPERIMENTAL METASTASIS,12-Dec,2012,29,8,915,925,,10.1007/s10585-012-9480-6,30,2.5,0,0,0,1,1,4,2,2,0,3,3,2,8,4,0,2,2
Risk factors for pancreatic stone formation in autoimmune pancreatitis over a long-term course,"Maruyama, Masahiro; Arakura, Norikazu; Ozaki, Yayoi; Watanabe, Takayuki; Ito, Tetsuya; Yoneda, Suguru; Maruyama, Masafumi; Muraki, Takashi; Hamano, Hideaki; Matsumoto, Akihiro; Kawa, Shigeyuki",JOURNAL OF GASTROENTEROLOGY,12-May,2012,47,5,553,560,,10.1007/s00535-011-0510-y,30,2.5,0,0,0,1,7,4,1,5,0,3,3,4,2,0,0,4,3.6
Characteristic magnetic resonance features of focal autoimmune pancreatitis useful for differentiation from pancreatic cancer,"Sugiyama, Yukiko; Fujinaga, Yasunari; Kadoya, Masumi; Ueda, Kazuhiko; Kurozumi, Masahiro; Hamano, Hideaki; Kawa, Shigeyuki",JAPANESE JOURNAL OF RADIOLOGY,12-May,2012,30,4,296,309,,10.1007/s11604-011-0047-2,28,2.33,0,0,0,0,2,2,2,2,3,1,4,4,3,5,0,1.333333333,1.6
Pro-/anti-inflammatory cytokine gene polymorphisms and chronic kidney disease: a cross-sectional study,"Okada, Rieko; Wakai, Kenji; Naito, Mariko; Morita, Emi; Kawai, Sayo; Hamajima, Nobuyuki; Hara, Megumi; Takashima, Naoyuki; Suzuki, Sadao; Takezaki, Toshiro; Ohnaka, Keizo; Arisawa, Kokichi; Hirohata, Hiroshi; Matsuo, Keitaro; Mikami, Haruo; Kubo, Michiaki; Tanaka, Hideo",BMC NEPHROLOGY,JAN 9 2012,2012,13,,,,2,10.1186/1471-2369-13-2,28,2.33,0,0,0,1,6,1,4,5,1,0,1,4,4,1,0,2.666666667,3.4
Adaptive response in the antioxidant defence system in the course and outcome in first-episode schizophrenia patients: A 12-months follow-up study,"Ruiz-Litago, Fatima; Seco, Jesus; Echevarria, Enrique; Martinez-Cengotitabengoa, Monica; Gil, Javier; Irazusta, Jon; Maria Gonzalez-Pinto, Ana",PSYCHIATRY RESEARCH,DEC 30 2012,2012,200,03-Feb,218,222,,10.1016/j.psychres.2012.07.024,26,2.17,0,0,0,0,3,2,3,4,1,1,2,4,3,3,0,1.666666667,2.4
A novel animal model of underactive bladder: Analysis of lower urinary tract function in a rat lumbar canal stenosis model,"Sekido, Noritoshi; Jyoraku, Akira; Okada, Hiroki; Wakamatsu, Daisuke; Matsuya, Hidekazu; Nishiyama, Hiroyuki",NEUROUROLOGY AND URODYNAMICS,12-Sep,2012,31,7,1190,1196,,10.1002/nau.21255,26,2.17,0,0,0,0,1,4,1,4,3,5,5,2,0,1,0,1.666666667,2
Adiponectin regulates functions of gingival fibroblasts and periodontal ligament cells,"Iwayama, T.; Yanagita, M.; Mori, K.; Sawada, K.; Ozasa, M.; Kubota, M.; Miki, K.; Kojima, Y.; Takedachi, M.; Kitamura, M.; Shimabukuro, Y.; Hashikawa, T.; Murakami, S.",JOURNAL OF PERIODONTAL RESEARCH,12-Oct,2012,47,5,563,571,,10.1111/j.1600-0765.2012.01467.x,25,2.08,0,0,0,0,1,8,0,2,3,1,3,2,2,3,0,3,2.2
Identification of IAA Transport Inhibitors Including Compounds Affecting Cellular PIN Trafficking by Two Chemical Screening Approaches Using Maize Coleoptile Systems,"Nishimura, Takeshi; Matano, Naoyuki; Morishima, Taichi; Kakinuma, Chieko; Hayashi, Ken-ichiro; Komano, Teruya; Kubo, Minoru; Hasebe, Mitsuyasu; Kasahara, Hiroyuki; Kamiya, Yuji; Koshiba, Tomokazu",PLANT AND CELL PHYSIOLOGY,12-Oct,2012,53,10,1671,1682,,10.1093/pcp/pcs112,25,2.08,0,0,0,0,1,3,4,0,3,2,3,4,1,4,0,1.333333333,1.6
Pathogenic Orphan Transduction Created by a Nonreference LINE-1 Retrotransposon,"Solyom, Szilvia; Ewing, Adam D.; Hancks, Dustin C.; Takeshima, Yasuhiro; Awano, Hiroyuki; Matsuo, Masafumi; Kazazian, Haig H., Jr.",HUMAN MUTATION,12-Feb,2012,33,2,369,371,,10.1002/humu.21663,25,2.08,0,0,0,4,4,1,4,3,3,1,3,1,1,0,0,3,3.2
PPAR gamma potentiates anticancer effects of gemcitabine on human pancreatic cancer cells,"Koga, Hironori; Selvendiran, Karuppaiyah; Sivakumar, Ramadoss; Yoshida, Takafumi; Torimura, Takuji; Ueno, Takato; Sata, Michio",INTERNATIONAL JOURNAL OF ONCOLOGY,12-Mar,2012,40,3,679,685,,10.3892/ijo.2011.1237,24,2,0,0,0,6,3,1,3,3,1,1,1,2,3,0,0,3.333333333,3.2
Solution structure and siRNA-mediated knockdown analysis of the mitochondrial disease-related protein C12orf65,"Kogure, Hiroyuki; Hikawa, Yusuke; Hagihara, Mamoru; Tochio, Naoya; Koshiba, Seizo; Inoue, Yusuke; Guentert, Peter; Kigawa, Takanori; Yokoyama, Shigeyuki; Nameki, Nobukazu",PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,12-Nov,2012,80,11,2629,2642,,10.1002/prot.24152,23,1.92,0,0,0,0,3,7,1,2,1,1,0,3,5,0,0,3.333333333,2.6
Inhibitory effects of choline-O-sulfate on amyloid formation of human islet amyloid polypeptide,"Hagihara, Mamoru; Takei, Ayaka; Ishii, Takeshi; Hayashi, Fumio; Kubota, Kenji; Wakamatsu, Kaori; Nameki, Nobukazu",FEBS OPEN BIO,2012,2012,2,,20,25,,10.1016/j.fob.2012.02.001,23,1.92,0,0,0,0,2,0,3,2,1,1,2,4,3,4,1,0.666666667,1.4
The Sp1 transcription factor is essential for the expression of gliostatin/thymidine phosphorylase in rheumatoid fibroblast-like synoviocytes,"Ikuta, Kenji; Waguri-Nagaya, Yuko; Kikuchi, Kae; Yamagami, Takaya; Nozaki, Masahiro; Aoyama, Mineyoshi; Asai, Kiyofumi; Otsuka, Takanobu",ARTHRITIS RESEARCH & THERAPY,2012,2012,14,2,,,R87,10.1186/ar3811,23,1.92,0,0,0,0,1,3,2,7,0,4,2,0,1,3,0,1.333333333,2.6
"Immunosuppressive effect of regulatory T lymphocytes in lung cancer, with special reference to their effects on the induction of autologous tumor-specific cytotoxic T lymphocytes","Shigematsu, Yoshiki; Hanagiri, Takeshi; Shiota, Hironobu; Kuroda, Koji; Baba, Tetsuro; Ichiki, Yoshinobu; Yasuda, Manabu; Uramoto, Hidetaka; Takenoyama, Mitsuhiro; Yasumoto, Kosei; Tanaka, Fumihiro",ONCOLOGY LETTERS,12-Oct,2012,4,4,625,630,,10.3892/ol.2012.815,22,1.83,0,0,0,0,1,3,4,5,3,2,1,1,1,1,0,1.333333333,2.6
Nicotine up-regulates IL-8 expression in human gingival epithelial cells following stimulation with IL-1 beta or P. gingivalis lipopolysaccharide via nicotinic acetylcholine receptor signalling,"Kashiwagi, Yoichiro; Yanagita, Manabu; Kojima, Yuko; Shimabukuro, Yoshio; Murakami, Shinya",ARCHIVES OF ORAL BIOLOGY,12-May,2012,57,5,483,490,,10.1016/j.archoralbio.2011.10.007,22,1.83,0,0,0,2,3,2,1,5,1,0,3,0,4,1,0,2.333333333,2.6
Microbial Interaction of Periodontopathic Bacterium Porphyromonas gingivalis and HIV-Possible Causal Link of Periodontal Diseases to AIDS Progression-,"Imai, Kenichi; Victoriano, Ann Florence B.; Ochiai, Kuniyasu; Okamoto, Takashi",CURRENT HIV RESEARCH,12-Apr,2012,10,3,238,244,,10.2174/157016212800618183,22,1.83,0,0,0,2,1,1,3,2,3,2,3,3,1,1,0,1.333333333,1.8
Mitochondrial transcription factor A regulates BCL2L1 gene expression and is a prognostic factor in serous ovarian cancer,"Kurita, Tomoko; Izumi, Hiroto; Kagami, Seiji; Kawagoe, Toshinori; Toki, Naoyuki; Matsuura, Yusuke; Hachisuga, Toru; Kohno, Kimitoshi",CANCER SCIENCE,12-Feb,2012,103,2,239,244,,10.1111/j.1349-7006.2011.02156.x,22,1.83,0,0,0,0,3,3,4,0,3,1,1,2,2,3,0,2,2
Preferential involvement of Na+/Ca2+ exchanger type-1 in the brain damage caused by transient focal cerebral ischemia in mice,"Morimoto, Nobutaka; Kita, Satomi; Shimazawa, Masamitsu; Namimatsu, Hiroko; Tsuruma, Kazuhiro; Hayakawa, Kazuhide; Mishima, Kenichi; Egashira, Nobuaki; Iyoda, Takuya; Horie, Ichiro; Gotoh, Yusuke; Iwasaki, Katsunori; Fujiwara, Michihiro; Matsuda, Toshio; Baba, Akemichi; Komuro, Issei; Horie, Kyoji; Takeda, Junji; Iwamoto, Takahiro; Hara, Hideaki",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,DEC 14 2012,2012,429,04-Mar,186,190,,10.1016/j.bbrc.2012.10.114,20,1.67,0,0,0,0,1,3,3,0,2,1,2,4,2,2,0,1.333333333,1.4
Plasma leukocyte cell-derived chemotaxin 2 is associated with the severity of systemic inflammation in patients with sepsis,"Ando, Kazuyoshi; Kato, Hidehito; Kotani, Toru; Ozaki, Makoto; Arimura, Yutaka; Yagi, Junji",MICROBIOLOGY AND IMMUNOLOGY,12-Oct,2012,56,10,708,718,,10.1111/j.1348-0421.2012.00488.x,20,1.67,0,0,0,0,2,2,1,1,2,3,3,0,2,4,0,1.333333333,1.2
Na+/Ca2+ exchanger 2-heterozygote knockout mice display decreased acetylcholine release and altered colonic motility in vivo,"Azuma, Y. T.; Nishiyama, K.; Kita, S.; Komuro, I.; Nakajima, H.; Iwamoto, T.; Takeuchi, T.",NEUROGASTROENTEROLOGY AND MOTILITY,12-Dec,2012,24,12,e600,e610,,10.1111/nmo.12029,19,1.58,0,0,0,0,1,2,3,3,2,0,2,0,4,2,0,1,1.8
Helminths of roe deer (Capreolus capreolus) in the Middle Black Sea Region of Turkey,"Bolukbas, Cenk Soner; Gurler, Ali Tumay; Beyhan, Yunus Emre; Acici, Mustafa; Umur, Sinasi",PARASITOLOGY INTERNATIONAL,12-Dec,2012,61,4,729,730,,10.1016/j.parint.2012.06.008,19,1.58,0,0,0,0,2,1,1,1,4,2,2,3,2,1,0,1,1
Distribution and clinical features of Paragonimiasis skrjabini in Three Gorges Reservoir Region,"Zhang, Xi-lin; Wang, Ying; Wang, Guang-xi; Chen, Wen-bi; He, Xie; Niu, Hui; Li, Zhen-lian; Chen, Lin; Wang, Li-fang",PARASITOLOGY INTERNATIONAL,12-Dec,2012,61,4,645,649,,10.1016/j.parint.2012.06.007,19,1.58,0,0,0,0,2,3,1,0,2,1,5,0,5,0,0,1.666666667,1.2
CHUP1 mediates actin-based light-induced chloroplast avoidance movement in the moss Physcomitrella patens,"Usami, Hiroka; Maeda, Takuma; Fujii, Yusuke; Oikawa, Kazusato; Takahashi, Fumio; Kagawa, Takatoshi; Wada, Masamitsu; Kasahara, Masahiro",PLANTA,12-Dec,2012,236,6,1889,1897,,10.1007/s00425-012-1735-6,18,1.5,0,0,0,1,0,2,2,6,1,2,2,1,0,1,0,1,2.2
Multiple Reversions of an IL2RG Mutation Restore T cell Function in an X-linked Severe Combined Immunodeficiency Patient,"Kawai, Tomoki; Saito, Megumu; Nishikomori, Ryuta; Yasumi, Takahiro; Izawa, Kazushi; Murakami, Tomohiko; Okamoto, Shigefumi; Mori, Yasuko; Nakagawa, Noriko; Imai, Kohsuke; Nonoyama, Shigeaki; Wada, Taizo; Yachie, Akihiro; Ohmori, Katsuyuki; Nakahata, Tatsutoshi; Heike, Toshio",JOURNAL OF CLINICAL IMMUNOLOGY,12-Aug,2012,32,4,690,697,,10.1007/s10875-012-9684-1,18,1.5,0,0,0,0,1,4,3,1,0,0,2,3,2,2,0,1.666666667,1.8
"Heat stress activates ER stress signals which suppress the heat shock response, an effect occurring preferentially in the cortex in rats","Liu, Yaohua; Sakamoto, Hiroaki; Adachi, Masaaki; Zhao, Shiguang; Ukai, Wataru; Hashimoto, Eri; Hareyama, Masato; Ishida, Tadao; Imai, Kohzoh; Shinomura, Yasuhisa",MOLECULAR BIOLOGY REPORTS,12-Apr,2012,39,4,3987,3993,,10.1007/s11033-011-1179-2,18,1.5,0,0,0,1,2,1,1,0,1,3,2,2,4,1,0,1.333333333,1
Comparative study of gene expression and major proteins' function of laticifers in lignified and unlignified organs of mulberry,"Kitajima, Sakihito; Taira, Toki; Oda, Kenji; Yamato, Katsuyuki T.; Inukai, Yoshihiro; Hori, Yusuke",PLANTA,12-Mar,2012,235,3,589,601,,10.1007/s00425-011-1533-6,18,1.5,0,0,0,0,2,0,1,1,1,2,2,5,4,0,0,0.666666667,0.8
Antipsychotic Induced Alteration of Growth and Proteome of Rat Neural Stem Cells,"Ahmed, Eakhlas Uddin; Ahmed, Selina; Ukai, Wataru; Matsumoto, Izuru; Kemp, Andrew; McGregor, Iain S.; Kashem, Mohammed Abul",NEUROCHEMICAL RESEARCH,12-Aug,2012,37,8,1649,1659,,10.1007/s11064-012-0768-3,17,1.42,0,0,0,1,2,5,0,5,0,1,0,1,1,1,0,2.666666667,2.6
Double vertical compression sutures: A novel conservative approach to managing post-partum haemorrhage due to placenta praevia and atonic bleeding,"Makino, Shintaro; Tanaka, Toshitaka; Yorifuji, Takashi; Koshiishi, Taro; Sugimura, Motoi; Takeda, Satoru",AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,12-Jun,2012,52,3,290,292,,10.1111/j.1479-828X.2012.01422.x,17,1.42,0,0,0,0,1,6,1,3,1,2,1,1,1,0,0,2.333333333,2.2
Reactivation of latent HIV-1 by a wide variety of butyric acid-producing bacteria,"Imai, Kenichi; Yamada, Kiyoshi; Tamura, Muneaki; Ochiai, Kuniyasu; Okamoto, Takashi",CELLULAR AND MOLECULAR LIFE SCIENCES,12-Aug,2012,69,15,2583,2592,,10.1007/s00018-012-0936-2,16,1.33,0,0,0,2,1,0,1,0,1,0,1,2,2,6,0,1,0.8
Anti-diabetic effects of Korean red pepper via AMPK and PPAR-gamma activation in C2C12 myotubes,"Yang, Hye Jeong; Jang, Dai-Ja; Hwang, Jin-Taek",JOURNAL OF FUNCTIONAL FOODS,12-Apr,2012,4,2,552,558,,10.1016/j.jff.2012.02.016,16,1.33,0,0,0,0,2,3,1,1,1,1,1,2,3,0,1,1.666666667,1.4
Identification of superoxide production by Arabidopsis thaliana aldehyde oxidases AAO1 and AAO3,"Zarepour, Maryam; Simon, Kristina; Wilch, Moritz; Nielaender, Ute; Koshiba, Tomokazu; Seo, Mitsunori; Lindel, Thomas; Bittner, Florian",PLANT MOLECULAR BIOLOGY,12-Dec,2012,80,6,659,671,,10.1007/s11103-012-9975-1,15,1.25,0,0,0,0,1,5,1,1,2,1,0,2,1,1,0,2,1.6
Loss of the SxxSS Motif in a Human T-Cell Factor-4 Isoform Confers Hypoxia Resistance to Liver Cancer: An Oncogenic Switch in Wnt Signaling,"Koga, Hironori; Tsedensodnom, Orkhontuya; Tomimaru, Yoshito; Walker, Evan J.; Lee, Han Chu; Kim, Kang Mo; Yano, Hirohisa; Wands, Jack R.; Kim, Miran",PLOS ONE,JUN 29 2012,2012,7,6,,,e39981,10.1371/journal.pone.0039981,15,1.25,0,0,0,0,3,3,1,1,1,1,2,2,1,0,0,2,1.6
"Region-specific expression of a water channel protein, aquaporin 4, on brain astrocytes","Aoyama, M.; Kakita, H.; Kato, S.; Tomita, M.; Asai, K.",JOURNAL OF NEUROSCIENCE RESEARCH,12-Dec,2012,90,12,2272,2280,,10.1002/jnr.23117,14,1.17,0,0,0,0,1,3,4,1,2,1,0,1,0,1,0,1.333333333,1.8
Serum Neutrophil Gelatinase Associated Lipocalin During the Early Postoperative Period Predicts the Recovery of Graft Function After Kidney Transplantation From Donors After Cardiac Death,"Kusaka, Mamoru; Iwamatsu, Fumi; Kuroyanagi, Yoko; Nakaya, Miho; Ichino, Manabu; Marubashi, Shigeru; Nagano, Hiroaki; Shiroki, Ryoichi; Kurahashi, Hiroki; Hoshinaga, Kiyotaka",JOURNAL OF UROLOGY,12-Jun,2012,187,6,2261,2267,,10.1016/j.juro.2012.01.033,14,1.17,0,0,0,0,3,3,1,0,2,1,3,0,1,0,0,2,1.4
Outcomes after Open Surgery and Endovascular Aneurysm Repair for Abdominal Aortic Aneurysm in Patients with Massive Neck Atheroma,"Hoshina, K.; Hosaka, A.; Takayama, T.; Kato, M.; Ohkubo, N.; Okamoto, H.; Shigematsu, K.; Miyata, T.",EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,12-Mar,2012,43,3,257,261,,10.1016/j.ejvs.2011.11.023,14,1.17,0,0,0,0,1,2,1,3,1,1,2,1,1,1,0,1,1.4
Stem cell therapy: social recognition recovery in a FASD model,"Shirasaka, T.; Hashimoto, E.; Ukai, W.; Yoshinaga, T.; Ishii, T.; Tateno, M.; Saito, T.",TRANSLATIONAL PSYCHIATRY,12-Nov,2012,2,,,,e188,10.1038/tp.2012.111,13,1.08,0,0,0,0,3,3,1,2,0,0,2,0,1,1,0,2,1.8
Mediator CDK subunits are platforms for interactions with various chromatin regulatory complexes,"Fukasawa, Rikiya; Tsutsui, Taiki; Hirose, Yutaka; Tanaka, Aki; Ohkuma, Yoshiaki",JOURNAL OF BIOCHEMISTRY,12-Sep,2012,152,3,241,249,,10.1093/jb/mvs065,12,1,0,0,0,0,1,0,6,1,1,1,1,0,0,1,0,0.333333333,1.6
Increased activity of serum mitochondrial isoenzyme of creatine kinase in hepatocellular carcinoma patients predominantly with recurrence,"Soroida, Yoko; Ohkawa, Ryunosuke; Nakagawa, Hayato; Satoh, Yumiko; Yoshida, Haruhiko; Kinoshita, Hiroto; Tateishi, Ryosuke; Masuzaki, Ryota; Enooku, Kenichiro; Shiina, Shuichiro; Sato, Takahisa; Obi, Shuntaro; Hoshino, Tadashi; Nagatomo, Ritsuko; Okubo, Shigeo; Yokota, Hiromitsu; Koike, Kazuhiko; Yatomi, Yutaka; Ikeda, Hitoshi",JOURNAL OF HEPATOLOGY,12-Aug,2012,57,2,330,336,,10.1016/j.jhep.2012.03.012,12,1,0,0,0,0,0,3,0,0,0,2,2,0,2,3,0,1,0.6
Temporally-regulated quick activation and inactivation of Ras is important for olfactory behaviour,"Uozumi, Takayuki; Hirotsu, Takaaki; Yoshida, Kazushi; Yamada, Ryuji; Suzuki, Akiya; Taniguchi, Gun; Iino, Yuichi; Ishihara, Takeshi",SCIENTIFIC REPORTS,JUL 9 2012,2012,2,,,,500,10.1038/srep00500,12,1,0,0,0,0,1,1,4,1,1,1,2,0,1,0,0,0.666666667,1.4
Significance of epithelial growth factor in the epithelial-mesenchymal transition of human gallbladder cancer cells,"Sasaki, Takamitsu; Kuniyasu, Hiroki; Luo, Yi; Kato, Daisuke; Shinya, Satoshi; Fujii, Kiyomu; Ohmori, Hitoshi; Yamashita, Yuichi",CANCER SCIENCE,12-Jun,2012,103,6,1165,1171,,10.1111/j.1349-7006.2012.02264.x,12,1,0,0,0,0,0,3,0,0,5,0,2,0,1,1,0,1,0.6
Clinical significance of mitochondrial transcription factor A expression in patients with colorectal cancer,"Nakayama, Yoshifumi; Yamauchi, Masumi; Minagawa, Noritaka; Torigoe, Takayuki; Izumi, Hiroto; Kohno, Kimitoshi; Yamaguchi, Koji",ONCOLOGY REPORTS,12-May,2012,27,5,1325,1330,,10.3892/or.2012.1640,12,1,0,0,0,0,2,3,2,2,1,2,0,0,0,0,0,1.666666667,1.8
