Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
"Functional characterization of the novel BRAF complex mutation, BRAFV600delinsYM, identified in papillary thyroid carcinoma","Matsuse, Michiko; Mitsutake, Norisato; Tanimura, Susumu; Ogi, Tomoo; Nishihara, Eijun; Hirokawa, Mitsuyoshi; Fuziwara, Cesar S.; Saenko, Vladimir A.; Suzuki, Keiji; Miyauchi, Akira; Yamashita, Shunichi",INTERNATIONAL JOURNAL OF CANCER,FEB 1 2013,2013,132,3,738,743,,10.1002/ijc.27709,,,18,1.64,0,0,0,0,3,5,3,1,3,0,1,0,2,0,0,3.666666667,3
Lifestyle-Based Physical Activity Intervention for One Year Improves Metabolic Syndrome in Overweight Male Employees,"Kim, Junghoon; Tanabe, Kai; Yoshizawa, Yasuyo; Yokoyama, Noriko; Suga, Yoko; Kuno, Shinya",TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,JAN 2013,2013,229,1,11,17,,10.1620/tjem.229.11,,,18,1.64,0,0,0,0,2,1,6,3,2,1,0,1,1,1,0,3,2.8
Fragmin/protamine microparticles to adsorb and protect HGF and to function as local HGF carriers in vivo,"Kishimoto, Satoko; Ishihara, Masayuki; Nakamura, Shingo; Fujita, Masanori; Takikawa, Megumi; Sumi, Yuki; Kiyosawa, Tomoharu; Sato, Toshinori; Kanatani, Yasuhiro",ACTA BIOMATERIALIA,JAN 2013,2013,9,1,4763,4770,,10.1016/j.actbio.2012.08.003,,,18,1.64,0,0,0,0,0,3,4,2,2,3,2,0,0,2,0,2.333333333,2.2
Effects of platelet-rich plasma-containing fragmin/protamine microparticles in enhancing endothelial and smooth muscle cell growth and inducing collateral vessels in a rabbit model of hindlimb ischemia,"Fujita, Masanori; Horio, Takuya; Kishimoto, Satoko; Nakamura, Shingo; Takikawa, Megumi; Nakayama, Takefumi; Yamamoto, Yoritsuna; Shimizu, Masafumi; Hattori, Hidemi; Tachibana, Shoichi; Ishihara, Masayuki",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,JAN 2013,2013,101B,1,36,42,,10.1002/jbm.b.32808,,,16,1.45,0,0,0,0,0,3,2,1,3,1,2,0,1,3,0,1.666666667,1.8
Effective expansion of human adipose-derived stromal cells and bone marrow-derived mesenchymal stem cells cultured on a fragmin/protamine nanoparticles-coated substratum with human platelet-rich plasma,"Kishimoto, Satoko; Ishihara, Masayuki; Mori, Yasutaka; Takikawa, Megumi; Hattori, Hidemi; Nakamura, Shingo; Sato, Toshinori",JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,DEC 2013,2013,7,12,955,964,,10.1002/term.1488,,,15,1.36,0,0,0,0,1,2,3,2,1,1,2,0,0,3,0,2,1.8
Enhancement of upconversion luminescence of Er and Yb co-doped Y2O3 nanoparticle by Ag half-shell,"Kodama, Toshiyuki; Fujii, Minoru; Nakano, Taishi; Imakita, Kenji; Hayashi, Shinji",OPTICAL MATERIALS,OCT 2013,2013,35,12,2394,2399,,10.1016/j.optmat.2013.06.040,,,15,1.36,0,0,0,0,0,2,3,2,3,2,1,0,2,0,0,1.666666667,2
Blockade of the ERK pathway enhances the therapeutic efficacy of the histone deacetylase inhibitor MS-275 in human tumor xenograft models,"Sakamoto, Toshiaki; Ozaki, Kei-ichi; Fujio, Kohsuke; Kajikawa, Shu-hei; Uesato, Shin-ichi; Watanabe, Kazushi; Tanimura, Susumu; Koji, Takehiko; Kohno, Michiaki",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,APR 19 2013,2013,433,4,456,462,,10.1016/j.bbrc.2013.03.009,,,15,1.36,0,0,0,0,1,2,0,2,4,1,1,1,1,2,0,1,1.8
Possible Roles of Robo1(+) Ensheathing Cells in Guiding Dorsal-Zone Olfactory Sensory Neurons in Mouse,"Aoki, Mari; Takeuchi, Haruki; Nakashima, Ai; Nishizumi, Hirofumi; Sakano, Hitoshi",DEVELOPMENTAL NEUROBIOLOGY,NOV 2013,2013,73,11,828,840,,10.1002/dneu.22103,,,14,1.27,0,0,0,0,0,2,0,0,1,1,3,2,3,2,0,0.666666667,0.6
Fabrication and Characterization of High-Mobility Graphene p-n-p Junctions Encapsulated by Hexagonal Boron Nitride,"Masubuchi, Satoru; Morikawa, Sei; Onuki, Masahiro; Iguchi, Kazuyuki; Watanabe, Kenji; Taniguchi, Takashi; Machida, Tomoki",JAPANESE JOURNAL OF APPLIED PHYSICS,NOV 2013,2013,52,11,,,110105,10.7567/JJAP.52.110105,,,14,1.27,0,0,0,0,0,2,3,4,1,1,0,2,1,0,0,1.666666667,2
A Feature-Word-Topic Model for Image Annotation and Retrieval,"Cam-Tu Nguyen; Kaothanthong, Natsuda; Tokuyama, Takeshi; Xuan-Hieu Phan",ACM TRANSACTIONS ON THE WEB,SEP 2013,2013,7,3,,,12,10.1145/2516633.2516634,,,14,1.27,0,0,0,0,0,3,3,5,2,1,0,0,0,0,0,2,2.6
Responses of leafing phenology and photosynthesis to soil warming in forest-floor plants,"Ishioka, Ryo; Muller, Onno; Hiura, Tsutom; Kudo, Gaku",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,AUG 2013,2013,51,,34,41,,10.1016/j.actao.2013.05.011,,,13,1.18,0,0,0,0,0,1,2,2,0,2,2,0,3,1,0,1,1
Refactoring pattern matching,"Wang, Meng; Gibbons, Jeremy; Matsuda, Kazutaka; Hu, Zhenjiang",SCIENCE OF COMPUTER PROGRAMMING,NOV 1 2013,2013,78,11,2216,2242,,10.1016/j.scico.2012.07.014,10th International Conference on Mathematics of Program Construction,"JUN, 2010",12,1.09,0,0,0,0,1,1,3,0,1,4,0,1,0,1,0,1.666666667,1.2
Symbolization-based differential evolution strategy for identification of structural parameters,"Li, Rongshuai; Mita, Akira; Zhou, Jin",STRUCTURAL CONTROL & HEALTH MONITORING,OCT 2013,2013,20,10,1255,1270,,10.1002/stc.1530,,,12,1.09,0,0,0,0,1,0,1,3,2,1,1,2,0,1,0,0.666666667,1.4
Photovoltaic infrared photoresponse of the high-mobility graphene quantum Hall system due to cyclotron resonance,"Masubuchi, Satoru; Onuki, Masahiro; Arai, Miho; Yamaguchi, Takehiro; Watanabe, Kenji; Taniguchi, Takashi; Machida, Tomoki",PHYSICAL REVIEW B,SEP 3 2013,2013,88,12,,,121402,10.1103/PhysRevB.88.121402,,,12,1.09,0,0,0,0,0,3,1,1,2,1,4,0,0,0,0,1.333333333,1.4
Influence of Amur River discharge on phytoplankton photophysiology in the Sea of Okhotsk during late summer,"Isada, Tomonori; Iida, Takahiro; Liu, Hongbin; Saitoh, Sei-Ichi; Nishioka, Jun; Nakatsuka, Takeshi; Suzuki, Koji",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,APR 2013,2013,118,4,1995,2013,,10.1002/jgrc.20159,,,12,1.09,0,0,0,0,0,4,1,0,0,1,1,2,2,1,0,1.666666667,1
"Roseomonas musae sp nov., a new bacterium isolated from a banana phyllosphere","Nutaratat, Pumin; Srisuk, Nantana; Duangmal, Kannika; Yurimoto, Hiroya; Sakai, Yasuyoshi; Muramatsu, Yuki; Nakagawa, Yasuyoshi",ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,MAR 2013,2013,103,3,617,624,,10.1007/s10482-012-9845-5,,,12,1.09,0,0,0,0,0,3,0,3,1,2,0,0,3,0,0,1,1.4
Influence of a Short-Term Iron-Deficient Diet on Hepatic Gene Expression Profiles in Rats,"Kamei, Asuka; Watanabe, Yuki; Kondo, Kaori; Okada, Shinji; Shinozaki, Fumika; Ishijima, Tomoko; Nakai, Yuji; Kondo, Takashi; Arai, Soichi; Abe, Keiko",PLOS ONE,JUN 5 2013,2013,8,6,,,e65732,10.1371/journal.pone.0065732,,,11,1,0,0,0,0,0,0,1,0,2,2,0,3,2,1,0,0.333333333,0.6
